Date Received,Company / Project Name,Sector,Description,LTM EBITDA ($M),"KGP 
20-Feb-24,Project Patriot,Building Products,"Mechanical contractor serving contruction design, fabrication, and installation.",$1.9,TMH,Grant Thornton LLP (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
15-Feb-24,DROP Sprockets,Industrial Products,Manufacturer of customizble parts that are critical in equipment and machinery.,$5.6,AH,Fort Capital,Passed,Yes,Yes,10.7x-11.7x,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
12-Feb-24,ACML,Business Services,Mission critical hard facilities management services provider,$6.5,AH,KPMG (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
6-Feb-24,Technicon Industries,Building Products,Commercial and residential trade services contractor,$3.0,AH,MNP (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Feb,2024,,,,PYTD,,,,,,,,,,,,,,,,,
25-Jan-24,Brydon Stairs,Building Products,Designs and manufactures wooden residential building components,$5.0,KM,MNP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
24-Jan-24,Project Bailey,Business Services,Safety code inspection firm offering compliance monitoring services.,$2.0,MA,Osprey Capital Partners,Immediate Pass,Yes,No,  -   ,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
19-Jan-24,Smartrend Manufacturing (SMG),Electronics,Manufacture customer-specific engineered components and school bus safety products,$6.5,KM,Ernst & Young (Saskatoon),Passed,Yes,Yes,5.9x-6.5x,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
5-Jan-24,Wholesale Food Distribution,Wholesale,Wholesale Food Distribution,$0.5,MA,Pacific Mergers & Acquisitions,Immediate Pass,No,No,  -   ,  -   ,,,,,,Jan,2024,,,,PYTD,,,,,,,,,,,,,,,,,
15-Dec-23,Colligo Networks,Business Services,API for Microsoft Outlook to save files to permitted drives,n.a.,BL,KGP Website,Immediate Pass,VC,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Agriculture / Forestry,Yes,,,,,,,,,,,,,,,
13-Dec-23,Mednow Inc,Healthcare,Full-service digital pharmacy & healthcare company,n.a.,KM,Ernst & Young (Restructuring),Passed,Restructure,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Building Products,No,,,,,,,,,,,,,,,
6-Dec-23,Matrix Video Communications Corp.,Electronics,Audio Visual (AV) integration services,$3.0,BL,Assurgo Enterprises,Passed,Yes,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Business Services,Bolt-on,,,,,,,,,,,,,,,
6-Dec-23,Project Hartum,Transportation Services,Oil & Gas related transport services,$20.0,AH,RWT Growth,Immediate Pass,No,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Consumer Services,VC,,,,,,,,,,,,,,,
6-Dec-23,The Network Inc.,Business Services,"Face-to-face marketing, customer acquisitions, and non-profit fundraising",$2.2,AH,RWT Growth,Passed,Yes,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Electronics,Restructure,,,,,,,,,,,,,,,
5-Dec-23,Smile Innovations Group,Healthcare,Dental clinic roll-up + manufacturer of dental products,$3.0,KM,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Healthcare,,,,,,,,,,,,,,,,
4-Dec-23,Project Hitch,Transportation Services,Towing and road assistance company,$1.3,AH,Grant Thornton LLP (Victoria),Immediate Pass,No,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Industrial Products,,,,,,,,,,,,,,,,
4-Dec-23,Atlantic Canadian O&G Services Company,Other,Hydraulic mechanical services,$2.2,KM,Personal Relationships,Immediate Pass,No,No,  -   ,  -   ,,,,,,Dec,2023,,,,,Other,,,,,,,,,,,,,,,,
30-Nov-23,CozyStay,Consumer Services,Property management platform,n.a.,BL,KGP Website,Immediate Pass,VC,No,  -   ,  -   ,,,,,,Nov,2023,,,,,Retail,,,,,,,,,,,,,,,,
29-Nov-23,AdvanTec Marine,Industrial Products,Manufacturer of marine structures and equipment,$7.4,AH,Fort Capital,Passed,Yes,No,  -   ,  -   ,,,,,,Nov,2023,,,,,Transportation Products,,,,,,,,,,,,,,,,
15-Nov-23,Berts Electric,Building Products,"Electrical contractor (multi-family, industrial, institutional, and commercial)",$10.3,BL,Fort Capital,Passed,No,No,  -   ,  -   ,,,,,,Nov,2023,,,,,Transportation Services,,,,,,,,,,,,,,,,
10-Nov-23,Contact Instruments,Industrial Products,"Manufacturer of measurement, electronics, and custom cable assemblies",$3.7,KM,Sequeira Partners (Edmonton),Passed,Yes,No,  -   ,  -   ,,,,,,Nov,2023,,,,,Wholesale,,,,,,,,,,,,,,,,
14-Nov-23,SkyFire Energy,Building Products,Solar renewable energy,$3.0,BL,CIBC Mid-Market (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
14-Nov-23,Project Leopard,Industrial Products,Industrial automation company,$3.0,BL,Baker Tilly (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
10-Nov-23,Project Rum,Business Services,Custom metal fabrication,$3.0,BL,Coldwater,Immediate Pass,No,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
10-Nov-23,Project Facade,Building Products,Manufacturer of exterior cladding systems,$1.9,BL,Coldwater,Immediate Pass,No,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
10-Nov-23,Project Highland,Building Products,Glass curtain wall and aluminum composite panel systems,$2.1,BL,Coldwater,Immediate Pass,No,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
7-Nov-23,Maxx,Business Services,"Pipeline integrity, maintenance, and repair",$7.3,KM,National Bank (Toronto),Passed,Yes,No,  -   ,  -   ,,,,,,Nov,2023,,,,,,,,,,,,,,,,,,,,,
31-Oct-23,Coastal Mountain Excavations,Business Services,Civil-construction and snow-removal contractor in the Sea-to-Sky Corridor,$4.0,BL,Sequoia Mergers & Acquisitions Corp.,Passed,No,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
30-Oct-23,Project Bronco,Other,Horizontal directional drilling company,$4.0,BL,Baker Tilly (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
26-Oct-23,South-East Pallet & Wood Products,Agriculture / Forestry,"Forestry business: logging, milling, and manufacturing",$2.8,KM,PwC (Winnipeg),Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
22-Oct-23,Lomi,Retail,Food waste platform,n.a.,AH,STS Capital Partners,Passed,VC,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
20-Oct-23,Swirltex,Other,Liquid filtration technology for wastewater,n.a.,KM,Natural Products Canada,Passed,VC,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
20-Oct-23,West Coast Sightseeing,Consumer Services,"Tourist bus trips around the Lower Mainland, Whistler, and Victoria",$5.0,KM,TD Special Loans,Immediate Pass,Restructure,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
18-Oct-23,Wasp Manufacturing,Business Services,Manufacturer and rental equipment supplier specialzing in wildfire protection,$0.4,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
18-Oct-23,ESP Salon Sales,Wholesale,Western Canadian wholesale distributor of salon and beauty products,$2.2,BL,ATB Capital Markets,Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
16-Oct-23,Seymour Health Centre Inc,Healthcare,"Health care clinics offering primary care, diagnositcs imaging, lab services, and other sepcialsed services.",n.a.,KM,Ernst & Young (Restructuring),Immediate Pass,Restructure,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
13-Oct-23,Iota Construction Ltd.,Building Products,"Bridge construction (design, manufacturing, installation, and certificaiton)",$2.6,TMH,Pacific Mergers & Acquisitions,Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
11-Oct-23,Fast Growing Pub Style Restaurant Chain,Consumer Services,Fast Growing Pub Style Restaurant Chain,$13.0,TMH,Capital West Partners,Immediate Pass,No,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
10-Oct-23,Project Halo,Business Services,B2B tech-enabled meal and catering service provider,$0.2,AH,RBC Mid-Market M&A,Immediate Pass,No,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
5-Oct-23,Fibretech,Retail,Plumbing Retailer & Distrubtor,n.a.,TMH,Personal Relationships,Passed,No,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
4-Oct-23,Pacific Radiator,Industrial Products,Specialty industrial equipment parts manufacturer,$2.9,BL,Relay Transition Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Oct,2023,,,,,,,,,,,,,,,,,,,,,
28-Sep-23,Kernels Popcorn,Consumer Services,Quick service snack food restaurant,$2.9,KM,Grant Thornton LLP (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
27-Sep-23,Petland,Retail,Pet Retail,$8.5,AH,Deloitte Corporate Finance,Passed,Yes,Yes,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
27-Sep-23,Vocational Training Business,Business Services,Provider of specialized training programs recognized by industry standard associations,$0.5,KM,Pacific Mergers & Acquisitions,Immediate Pass,No,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
26-Sep-23,Custom Flooring Centres,Building Products,Provider of custom flooring on the Sunshine Coast,$2.0,KM,Lark Street Capital,Passed,Yes,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
19-Sep-23,Dynaflex,Industrial Products,Manufacturer of piping systems,$10.0,KM,Sequeira Partners (Edmonton),Passed,Yes,Yes,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
18-Sep-23,MTC Solutions,Building Products,Hardware solutions for mass timber construction,$2.4,TMH/KM,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
14-Sep-23,"Freehouse Collective, formerly Donnelly Group",Consumer Services,Vancouver & Toronto pub and restaurant group emerging from CCAA,$0.0,KM,Ashdown Capital,Passed,Restructure,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
6-Sep-23,ShipOffers,Transportation Services,E-commerce fulfillment and warehousing,$9.0,KM,PMCF,Passed,No,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
6-Sep-23,Firemaster Oilfield Services Inc.,Business Services,Fire protection and emergency response company,$1.6,KM,ElkLake Partners Inc.,Passed,No,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
5-Sep-23,SEI Industries,Industrial Products,Maker of the Bambi bucket used in aerial fire fighting,$20.0,BL,Personal Relationships,Passed,No,No,  -   ,  -   ,,,,,,Sep,2023,,,,,,,,,,,,,,,,,,,,,
31-Aug-23,Chop Value,Retail,Recycler of chopsticks and products,n.a.,BL,Personal Relationships,Immediate Pass,VC,No,  -   ,  -   ,,,,,,Aug,2023,,,,,,,,,,,,,,,,,,,,,
15-Aug-23,DWB Consulting Services,Business Services,"Multi-disciplinary consulting firm (environmental, forestry, etc.)",$6.0,AH,KPMG Corporate Finance (Winnipeg),Passed,Yes,No,  -   ,  -   ,,,,,,Aug,2023,,,,,,,,,,,,,,,,,,,,,
10-Aug-23,Bezdan Railling Solutions,Building Products,Interior and exterior railing systems and components,$1.2,TMH,Chinook Business Advisory,Passed,Bolt-on,No,  -   ,  -   ,,,,,,Aug,2023,,,,,,,,,,,,,,,,,,,,,
31-Jul-23,Rayacom,Business Services,Printing company,$2.3,KM,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2023,,,,,,,,,,,,,,,,,,,,,
27-Jul-23,Poppy Barley,Retail,Women's shoe retailer,$0.2,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Jul,2023,,,,,,,,,,,,,,,,,,,,,
12-Jul-23,EBSU Group,Building Products,Cabinet manufacturer,$4.5,KM,Grant Thornton LLP (Montreal),Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2023,,,,,,,,,,,,,,,,,,,,,
6-Jul-23,Morgan Fuels,Transportation Services,Fuel distribution business,$8.5,KM,Grant Thornton LLP (Halifax),Passed,Yes,No,  -   ,  -   ,,,,,,Jul,2023,,,,,,,,,,,,,,,,,,,,,
29-Jun-23,Miska Trailer Factory,Transportation Products,Manufacturer and retailer of utility trailers,$8.5,BL,PwC (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
27-Jun-23,Network Entertainment,Other,"Documentary producer (sports and music), go private transaction",n.a.,KM,Personal Relationships,Passed,VC,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
22-Jun-23,Westeck Window Manufacturing,Building Products,Manufactures windows and doors for custom homes and luxury townhouses,$8.6,AH,Transition Advisory Partners,Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
22-Jun-23,OMG,Retail,Manufacturer of chocolate confections,$1.6,AH,KPMG Corporate Finance (Winnipeg),Passed,Bolt-on,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
21-Jun-23,Lonetrack,Wholesale,Distributor of heavy equipment serving the aggregate rock and mining industry,$4.2,BL,KPMG Corporate Finance (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
16-Jun-23,Timber-Tech Truss Inc.,Building Products,Manufacturer of residential building components,$10.0,BL,MNP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
16-Jun-23,Power Bill,Business Services,Cloud-based automated biling and settlement platform for utilities,$1.1,KM,Garibaldi Capital,Passed,No,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
9-Jun-23,Radiant Health Inc.,Retail,"Designer, sub-contract manufacturer, and DTC retailer of infrared saunas",$2.2,AH,Relay Transition Partners,Passed,Bolt-on,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
9-Jun-23,REV Engineering,Other,"Electrical manufacturing, engineering, and field services company",$11.1,BL,Sequeira Partners,Passed,No,Yes,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
6-Jun-23,Structural Composite Technologies,Building Products,Fiberglass manufacturer,$1.9,AH,PwC (Edmonton),Passed,No,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
2-Jun-23,Project Alloy,Industrial Products,Complex sand and investment castings,$2.6,BL,CIBC Mid-Market (Milwaukee),Immediate Pass,No,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
2-Jun-23,Nossack Food Group,Other,Meat manufacturer,$4.0,BL,RBC Mid-Market M&A,Passed,Yes,No,  -   ,  -   ,,,,,,Jun,2023,,,,,,,,,,,,,,,,,,,,,
30-May-23,Base Metallurgical Laboratories,Business Services,Operator of metallurgical testing facilities,$6.5,BL,Grant Thornton LLP (Kelowna),Passed,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
29-May-23,Poseidon Ocean Systems,Other,Fish farm equipment distributor and rental company,$6.0,KM,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
29-May-23,Altea,Consumer Services,"serial health and wellness club operators, expansion financing",$4.1,KM,First West Capital,Passed,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
18-May-23,Wendy Health,Healthcare,Pratice roll-up + SaaS platform for counseling/mental health professionals,$1.5,KM,Personal Relationships,Passed,No,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
15-May-23,VMAC Global Technologies Inc.,Industrial Products,Designs/manufactures mobile air compressors incl for bus air brakes,$1.8,KM,Personal Relationships,Passed,No,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
15-May-23,Enex Fuels,Transportation Services,Imperial Oil / Esso fuel and lubricants distributor,$6.5,KM,Personal Relationships,Completed,Yes,Yes,  -   ,6.0x,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
26-May-23,Longview Communications,Business Services,Corporate communications and public affairs firm,$7.6,AH,Fort Capital,Passed,Yes,Yes,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
25-May-23,Mosaic Veterinary Partners,Healthcare,Mixed animal veterinary consolidators,$3.0,KM,Ernst & Young (Calgary),Passed,Yes,Yes,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
23-May-23,UpMeals,Other,Smart vending machines for fresh meals,n.a.,BL,Other,Passed,No,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
17-May-23,Raven Roofing,Building Products,Installs roofing systems for new and existing buildings,$3.9,BL,Sequoia Mergers & Acquisitions Corp.,Passed,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
15-May-23,Everything Wine,Retail,Specialty wine retailer in BC and Alberta,$2.0,AH,Personal Relationships,Passed,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
11-May-23,Project Mandy,Industrial Products,HVAC manufacturer and distributor based in ON,$4.0,BL,CIBC Mid-Market (Toronto),Passed,No,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
11-May-23,Project Spritz,Industrial Products,Designer and manufacturer of industrial cleaning solutions,$4.4,KM,BDO Canada LLP,Immediate Pass,Yes,No,  -   ,  -   ,,,,,,May,2023,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,Project North Star,Building Products,Heavy construction contractor operating in Western and Northern Canada,$8.0,TMH,Raymond James,Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
13-Apr-23,JayCo Builders,Building Products,"Contractor specializing in commercial, industrial, and residential construction",$4.4,TMH,Grant Thornton LLP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
12-Apr-23,Westcore Logistics,Business Services,Third-party logistics solutions,$10.0,AH,Ernst & Young (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
12-Apr-23,Site Preparation Service Provider,Business Services,"Site preparation services for geological formations, wide-ranging terrains, and remote areas",$15.7,BL,MNP (Calgary),Immediate Pass,No,No,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
5-Apr-23,Ridgeway Mechanical,Building Products,"Commercial mechanical contractor specializing in HVAC, plumbing, sprinklers, and other mechanical services",$2.8,BL,Sequoia Mergers & Acquisitions Corp.,Passed,No,No,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
5-Apr-23,Kepler Academy,Consumer Services,Provider of childcare and early learning in Canada,$4.5,KM,Deloitte Corporate Finance,Deal Lost,Yes,Yes,  -   ,6.5x,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
5-Apr-23,Coastal Pacific Xpress,Transportation Services,Supply chain company focused on refrigerated transportation solutoins,$10.0,KM,CIBC Mid-Market (Vancouver),Passed,No,Yes,  -   ,  -   ,,,,,,Apr,2023,,,,,,,,,,,,,,,,,,,,,
31-Mar-23,Project Hermes,Transportation Services,Asset-light less than truck load (LTL) carrier,$6.2,AH,National Bank (Toronto),Immediate Pass,No,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
30-Mar-23,Cedar Grove Building Products Ltd.,Building Products,Building supplies distributor,$3.0,KM,Baker Tilly (Vancouver),Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
28-Mar-23,LOGE Camps Canada,Consumer Services,Hospitality group focused on outdoor adventure and community,n.a.,AH,Fasken,Passed,VC,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
28-Mar-23,Custom Paper,Other,Paper products manufacturer,$1.5,KM,Sequoia Mergers & Acquisitions Corp.,Passed,No,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
23-Mar-23,AGM,Building Products,Provider of insulated glass units for residential and commercial buildings,$2.8,BL,Grant Thornton LLP (Calgary),Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
22-Mar-23,Moore's Industrial,Industrial Products,"Hard chrome, sulfamate nickel and tungsten carbide HVOF and HVAF industrial coatings, AB-based",$10.4,KM,Generational Equity,Passed,No,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
21-Mar-23,IST (HD Golf),Other,Designer and manufacturer of golf and other sport simulators,$4.8,AH,PwC (Toronto),Passed,No,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
20-Mar-23,RWC Systems Inc,Building Products,Contractor specializing in the design and construction of steel stud wall assemblies and complex ceiling sytems,$6.6,KM,Capital West Partners,Passed,Yes,Yes,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
14-Mar-23,WPIC,Business Services,E-commerce enablement and acceleration solution provider,$5.3,AH,KPMG Corporate Finance (Vancouver),Passed,Yes,Yes,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
13-Mar-23,Inland Glass,Building Products,Manufactures and installs aluminum curtainwalls,$5.9,KM,ACS Capital,Passed,Yes,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
10-Mar-23,Project Mosaic,Other,Manufactures recycled rubber flooring,$3.3,KM,PwC (Vancouver),Immediate Pass,Yes,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
7-Mar-23,Prompt Financial Services,Business Services,Alternative mortgage lender,$6.3,KM,PwC (Vancouver),Passed,No,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
7-Mar-23,PWM Loss Prevention Services,Business Services,"Security and loss prevention services for workplaces, commercial and residential buildings, and events",n.a.,KM,Grant Thornton LLP (Restructuring),Immediate Pass,Restructure,No,  -   ,  -   ,,,,,,Mar,2023,,,,,,,,,,,,,,,,,,,,,
28-Feb-23,Chapel Hats,Retail,Multi-store specialty fashion accessory retailer,$2.3,KM,Sequeira Partners,Immediate Pass,Yes,No,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
28-Feb-23,Sylvis,Business Services,Preeminent environmental consulting & contracting company,$1.7,AH,Sequoia Mergers & Acquisitions Corp.,Passed,No,Yes,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
28-Feb-23,Evolution Group,Transportation Services,Full-service third-party logistics provider,$4.0,BL,MNP (Vancouver),Passed,Yes,Yes,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,BBE Expediting,Transportation Services,Asset-light supply chain service providers,$4.5,KM,Sequeira Partners,Passed,Yes,Yes,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
16-Feb-23,Marimar Holdings Ltd.,Building Products,Operator of five Home Hardware banner stores across Western Canada,$11.0,BL,Grant Thornton LLP (Victoria),Passed,Bolt-on,No,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
16-Feb-23,Jacknife Oilfield Services,Transportation Services,Fluid transportation provider focusing on heavy crude and oilfield hauling,$8.8,KM,KPMG Corporate Finance (Calgary),Passed,Yes,Yes,  -   ,  -   ,,,,,,Feb,2023,,,,,,,,,,,,,,,,,,,,,
